"species" "number_of_animals"
"1" "Ammospermophilus nelsoni" 132
"2" "Andrena nigripes" 4
"3" "Aspidoscelis tigris" 6
"4" "Buteo jamaicensis" 2
"5" "Calathus ruficollis" 8
"6" "Calypte anna" 2
"7" "Chondestes grammacus" 71
"8" "Corvus corax" 4
"9" "Crotalus oreganus" 1
"10" "Dasymutilla aureola" 1
"11" "Dicolonus simplex" 40
"12" "Dipodomys ingens" 1014
"13" "Geococcyx californianus" 1
"14" "Hippodamia convergens" 2
"15" "Icaricia acmon" 294
"16" "Leopard Lizard" 48
"17" "Lepus californicus" 170
"18" "Oedaleonotus enigma" 307
"19" "Otospermophilus beecheyi" 9
"20" "Pepsis formos" 3
"21" "Perognathus inornatus" 25
"22" "Pituophis catenifer" 2
"23" "Rhionaeschna multicolor" 8
"24" "small mammal" 78
"25" "Uta stansburiana" 13
"26" "Vulpes macrotis" 21
