observer,Date,Site,Site.Number,Site.Density,RDM.NUMBER,shrub.or.open,code,lat,long,RDM
"Mario, Nargol",11-Jun-19,Carrizo,4,ND,1,open,NDO1,35.1185,-119.62861,2g
"Mario, Nargol",11-Jun-19,Carrizo,4,ND,2,open,NDO2,35.11855,-119.62858,3g
"Mario, Nargol",11-Jun-19,Carrizo,4,ND,3,open,NDO3,35.11848,-119.62856,6g
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,1,shrub,LDS1,35.11883,-119.62927,7g
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,1,open,LDO1,35.11883,-119.62924,3g
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,2,shrub,LDS2,35.11879,-119.62922,6g
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,2,open,LDO2,35.11877,-119.62923,1g
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,3,shrub,LDS3,35.11887,-119.62939,11g
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,3,open,LDO3,35.11888,-119.62936,1g
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,1,open,HDO1,35.11965,-119.6282,2g
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,1,shrub,HDS1,35.11964,-119.62824,6g
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,2,open,HDO2,35.11994,-119.62846,2g
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,2,shrub,HDS2,35.11994,-119.62843,5g
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,3,open,HDO3,35.12,-119.6284,2g
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,3,shrub,HDS3,35.11999,-120.62833,9g
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,1,open,MDO1,35.11933,-120.62837,3g
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,1,shrub,MDS1,35.11931,-119.62836,5g
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,2,open,MDO2,35.11923,-119.62846,1g
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,2,shrub,MDS2,35.11924,-119.62857,10g
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,3,open,MDO3,35.11919,-119.62843,2g
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,3,shrub,MDS3,35.11919,-119.62841,7g
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,1,shrub,HDS1,35.16169,-119.677202,11g
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,1,open,HDO1,35.16161,-119.67198,3g
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,2,shrub,HDS2,35.16179,-119.67191,7g
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,2,open,HDO2,35.16178,-119.6719,2g
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,3,shrub,HDS3,35.16175,-119.67193,13g
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,3,open,HDO3,35.16176,-119.67194,4g
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,1,shrub,LDS1,35.16225,-119.67297,9g
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,1,open,LDO1,35.16226,-119.67297,2g
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,2,shrub,LDS2,35.16231,-119.67295,10g
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,2,open,LDO2,35.1623,-119.67294,1g
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,3,shrub,LDS3,35.16232,-119.67297,6g
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,3,open,LDO3,35.16234,-119.67297,1g
"Mario, Nargol",12-Jun-19,Carrizo,3,ND,1,open,NDO1,35.1626,-119.67431,6g
"Mario, Nargol",12-Jun-19,Carrizo,3,ND,2,open,NDO2,35.16252,-119.67435,4g
"Mario, Nargol",12-Jun-19,Carrizo,3,ND,3,open,NDO3,35.16245,-119.67441,6g
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,1,shrub,MDS1,35.16313,-11967410,6g
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,1,open,MDO1,35.16313,-119.67404,2g
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,2,shrub,MDS2,35.1632,-119.67403,3g
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,2,open,MDO2,35.1633,-119.67404,1g
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,3,shrub,MDS3,35.16331,-119.6741,8g
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,3,open,MDO3,35.16333,-119.67411,1g
