Site,Site.Number,Density,Camera.name,Camera.number,lat,long
Carrizo,4,High,HDS4C1,1,35.11976,-119.62843
Carrizo,4,High,HDS4C2,2,35.11995,-119.6283
Carrizo,4,Medium,MDS4C1,1,35.11907,-119.62837
Carrizo,4,Medium,MDS4C2,2,35.11932,-119.6284
Carrizo,4,Low,LDS4C1,1,35.11894,-119.62916
Carrizo,4,Low,LDS4C2,2,35.11881,-119.62936
Carrizo,4,None,NDS4C1,1,35.11856,-119.62857
Carrizo,4,None,NDS4C2,2,35.11836,-119.62862
Carrizo,3,High,HDS3C1,1,35.16166,-119.67197
Carrizo,3,High,HDS3C2,2,35.16182,-119.67186
Carrizo,3,Medium,MDS3C1,1,35.16309,-119.67408
Carrizo,3,Medium,MDS3C2,2,35.16331,-119.67402
Carrizo,3,Low,LDS3C1,1,35.16217,-119.67296
Carrizo,3,Low,LDS3C2,2,35.16236,-119.67289
Carrizo,3,None,NDS3C1,1,35.16266,-119.67423
Carrizo,3,None,NDS3C2,2,35.16252,-119.67439
Panoche,1,High,HDPS1C1,1,36.69602,-120.79646
Panoche,1,High,HDPS1C2,2,36.69592,-120.79678
Panoche,1,Medium,MDPS1C1,1,36.69595,-120.7981
Panoche,1,Medium,MDPS1C2,2,36.69595,-120.79779
Panoche,1,Low,LDPS1C1,1,36.69528,-120.79695
Panoche,1,Low,LDPS1C2,2,36.69526,-120.79721
Panoche,1,None,NDPS1C1,1,36.69380,-120.79295
Panoche,1,None,NDPS1C2,2,36.69373,-120.79271
