observer,Date,Site,Site.Number,Site.Density,plot,density,density_level,RDM.NUMBER,microsite,code,lat,long,RDM_g
"Mario, Nargol",11-Jun-19,Carrizo,4,ND,4,0,0,1,open,NDO1,35.1185,-119.62861,2
"Mario, Nargol",11-Jun-19,Carrizo,4,ND,4,0,0,2,open,NDO2,35.11855,-119.62858,3
"Mario, Nargol",12-Jun-19,Carrizo,3,ND,8,0,0,2,open,NDO2,35.16252,-119.67435,4
"Mario, Nargol",11-Jun-19,Carrizo,4,ND,4,0,0,3,open,NDO3,35.11848,-119.62856,6
"Mario, Nargol",12-Jun-19,Carrizo,3,ND,8,0,0,1,open,NDO1,35.1626,-119.67431,6
"Mario, Nargol",12-Jun-19,Carrizo,3,ND,8,0,0,3,open,NDO3,35.16245,-119.67441,6
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,7,3,1,2,shrub,LDS2,35.16231,-119.67295,10
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,3,2,1,3,shrub,LDS3,35.11887,-119.62939,11
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,3,2,1,2,open,LDO2,35.11877,-119.62923,1
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,3,2,1,3,open,LDO3,35.11888,-119.62936,1
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,7,3,1,2,open,LDO2,35.1623,-119.67294,1
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,7,3,1,3,open,LDO3,35.16234,-119.67297,1
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,7,3,1,1,open,LDO1,35.16226,-119.67297,2
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,3,2,1,1,open,LDO1,35.11883,-119.62924,3
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,3,2,1,2,shrub,LDS2,35.11879,-119.62922,6
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,7,3,1,3,shrub,LDS3,35.16232,-119.67297,6
"Mario, Nargol",11-Jun-19,Carrizo,4,LD,3,2,1,1,shrub,LDS1,35.11883,-119.62927,7
"Mario, Nargol",12-Jun-19,Carrizo,3,LD,7,3,1,1,shrub,LDS1,35.16225,-119.67297,9
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,2,6,2,2,shrub,MDS2,35.11924,-119.62857,10
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,2,6,2,2,open,MDO2,35.11923,-119.62846,1
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,6,6,2,2,open,MDO2,35.1633,-119.67404,1
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,6,6,2,3,open,MDO3,35.16333,-119.67411,1
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,2,6,2,3,open,MDO3,35.11919,-119.62843,2
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,6,6,2,1,open,MDO1,35.16313,-119.67404,2
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,2,6,2,1,open,MDO1,35.11933,-120.62837,3
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,6,6,2,2,shrub,MDS2,35.1632,-119.67403,3
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,2,6,2,1,shrub,MDS1,35.11931,-119.62836,5
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,6,6,2,1,shrub,MDS1,35.16313,-11967410,6
"Mario, Nargol",11-Jun-19,Carrizo,4,MD,2,6,2,3,shrub,MDS3,35.11919,-119.62841,7
"Mario, Nargol",12-Jun-19,Carrizo,3,MD,6,6,2,3,shrub,MDS3,35.16331,-119.6741,8
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,5,11,3,1,shrub,HDS1,35.16169,-119.677202,11
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,5,11,3,3,shrub,HDS3,35.16175,-119.67193,12
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,1,12,3,1,open,HDO1,35.11965,-119.6282,2
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,1,12,3,2,open,HDO2,35.11994,-119.62846,2
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,1,12,3,3,open,HDO3,35.12,-119.6284,2
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,5,11,3,2,open,HDO2,35.16178,-119.6719,2
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,5,11,3,1,open,HDO1,35.16161,-119.67198,3
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,5,11,3,3,open,HDO3,35.16176,-119.67194,4
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,1,12,3,2,shrub,HDS2,35.11994,-119.62843,5
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,1,12,3,1,shrub,HDS1,35.11964,-119.62824,6
"Mario, Nargol",12-Jun-19,Carrizo,3,HD,5,11,3,2,shrub,HDS2,35.16179,-119.67191,7
"Mario, Nargol",11-Jun-19,Carrizo,4,HD,1,12,3,3,shrub,HDS3,35.11999,-120.62833,9
