Site,ID,site.number,site.density,site.lat,site.lng,shrub.count,shrub.number,shrub.lat,shrub.lng,x,y,z,shrub.species
Carrizo,1,4,High,35.11985,-119.62835,12,1,35.11982,-119.62853,300,240,145,ephedra
Carrizo,2,4,High,35.11985,-119.62835,12,2,35.11984,-119.62843,434,260,143,ephedra
Carrizo,3,4,High,35.11985,-119.62835,12,3,35.11988,-119.62846,326,228,156,ephedra
Carrizo,4,4,High,35.11985,-119.62835,12,4,35.11992,-119.62839,224,158,138,ephedra
Carrizo,5,4,High,35.11985,-119.62835,12,5,35.11992,-119.62836,222,170,135,ephedra
Carrizo,6,4,High,35.11985,-119.62835,12,6,35.11994,-119.62836,196,173,151,ephedra
Carrizo,7,4,High,35.11985,-119.62835,12,7,35.11991,-119.62831,182,157,153,ephedra
Carrizo,8,4,High,35.11985,-119.62835,12,8,35.1199,-119.62833,185,184,118,ephedra
Carrizo,9,4,High,35.11985,-119.62835,12,9,35.11993,-119.62827,174,147,102,ephedra
Carrizo,10,4,High,35.11985,-119.62835,12,10,35.11983,-119.62827,277,223,129,ephedra
Carrizo,11,4,High,35.11985,-119.62835,12,11,35.11982,-119.82827,281,205,121,ephedra
Carrizo,12,4,High,35.11985,-119.62835,12,12,35.1198,-119.62828,271,241,125,ephedra
Carrizo,13,4,Medium,35.1192,-119.62947,6,1,35.1191,-119.62843,262,256,148,ephedra
Carrizo,14,4,Medium,35.1192,-119.62947,6,2,35.11917,-119.62843,274,254,159,ephedra
Carrizo,15,4,Medium,35.1192,-119.62947,6,3,35.11923,-119.62852,493,398,144,ephedra
Carrizo,16,4,Medium,35.1192,-119.62947,6,4,35.11929,-119.62836,221,281,131,ephedra
Carrizo,17,4,Medium,35.1192,-119.62947,6,5,35.11929,-119.62834,295,255,123,ephedra
Carrizo,18,4,Medium,35.1192,-119.62947,6,6,35.11926,-119.62825,338,310,148,ephedra
Carrizo,19,4,Low,35.11889,-119.62922,2,1,35.11881,-119.62924,230,200,132,ephedra
Carrizo,20,4,Low,35.11889,-119.62922,2,2,35.1188,-119.62924,269,164,112,ephedra
Carrizo,21,4,None,35.11845,-119.62862,0,,,,,,,
Carrizo,22,3,High,35.16175,-119.67192,11,1,35.16172,-119.67201,230,121,107,ephedra
Carrizo,23,3,High,35.16175,-119.67192,11,2,35.16174,-119.67198,280,173,117,ephedra
Carrizo,24,3,High,35.16175,-119.67192,11,3,35.16174,-119.67194,178,165,99,ephedra
Carrizo,25,3,High,35.16175,-119.67192,11,4,35.16172,-119.67196,121,108,123,ephedra
Carrizo,26,3,High,35.16175,-119.67192,11,5,35.16179,-119.67191,239,197,109,ephedra
Carrizo,27,3,High,35.16175,-119.67192,11,6,35.16184,-119.67191,239,197,111,ephedra
Carrizo,28,3,High,35.16175,-119.67192,11,7,35.16175,-119.67191,180,173,83,ephedra
Carrizo,29,3,High,35.16175,-119.67192,11,8,35.16173,-119.6719,240,172,98,ephedra
Carrizo,30,3,High,35.16175,-119.67192,11,9,35.16171,-119.67189,219,189,107,ephedra
Carrizo,31,3,High,35.16175,-119.67192,11,10,35.16171,-119.67188,204,203,149,ephedra
Carrizo,32,3,High,35.16175,-119.67192,11,11,35.16168,-119.67296,235,172,124,ephedra
Carrizo,33,3,Medium,35.1632,-119.67406,7,1,35.16312,-119.6741,344,249,121,ephedra
Carrizo,34,3,Medium,35.1632,-119.67406,7,2,35.1633,-119.67403,187,162,93,ephedra
Carrizo,35,3,Medium,35.1632,-119.67406,7,3,35.16331,-119.67406,358,251,133,ephedra
Carrizo,36,3,Medium,35.1632,-119.67406,7,4,35.16329,-119.67399,257,206,94,ephedra
Carrizo,37,3,Medium,35.1632,-119.67406,7,5,35.16314,-119.67397,208,91,96,ephedra
Carrizo,38,3,Medium,35.1632,-119.67406,7,6,35.16316,-119.67397,175,165,117,ephedra
Carrizo,39,3,Low,35.16252,-119.67292,3,1,35.16223,-119.67297,353,289,145,ephedra
Carrizo,40,3,Low,35.16252,-119.67292,3,2,35.1623,-119.67296,234,154,151,ephedra
Carrizo,41,3,Low,35.16252,-119.67292,3,3,35.16233,-119.67295,243,217,147,ephedra
Carrizo,42,3,None,35.16256,-119.67432,0,,,,,,,
