observer,Date,Measure,day_sample,Site,Site.Number,plot,density_level,Site.Density,transect number,distance on transect,animal.hit,RTM,observations,microsite,Time.block,actual.time,presence of flower
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,6,2,MD,2,40,1,Grasshopper,jumping,shrub,AM,10:35,no
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,6,2,MD,2,40,1,Grasshopper,jumping,shrub,AM,10:35,no
"Mario, Nargol",21-May-19,transect,5,Carrizo,4,1,3,HD,1,60,1,Grasshopper,Standing,shrub,AM,10:42,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,1,70,1,Butterfly,flying,shrub,PM,12:03,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,1,3,HD,1,40,1,Butterfly,flying,shrub,PM,12:34,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,7,1,LD,3,80,1,Butterfly,flying,shrub,AM,11:10,yes
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,3,1,LD,3,40,1,Grasshopper,jumping,shrub,PM,14:01,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,3,1,LD,1,0,1,Grasshopper,jumping,shrub,PM,14:11,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,3,1,LD,1,80,1,Grasshopper,jumping,shrub,AM,11:54,no
"Mario, Nargol",21-May-19,transect,5,Carrizo,4,2,2,MD,3,20,1,Bee,Flying,shrub,AM,10:13,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,1,10,1,Butterfly,standing,shrub,AM,9:12,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,1,10,1,Butterfly,standing,shrub,AM,9:12,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,1,10,1,Butterfly,standing,shrub,AM,9:12,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,1,30,1,Butterfly,standing,shrub,AM,9:13,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,3,50,1,Butterfly,flying,shrub,AM,9:41,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,3,70,1,Rattlesnake,standing,shrub,AM,9:42,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,2,2,MD,1,20,1,Grasshopper,jumping,shrub,PM,12:19,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,4,0,ND,2,60,1,Grasshopper,jumping,shrub,PM,13:53,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,8,0,ND,1,40,1,Grasshopper,jumping,shrub,AM,10:59,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,5,3,HD,2,60,1,Grasshopper,standing,shrub,AM,9:09,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,5,3,HD,2,100,1,Antelope squirrel,running,shrub,AM,9:11,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,1,30,1,Grasshopper,standing,shrub,PM,12:02,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,2,100,1,Butterfly,flying,shrub,PM,12:05,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,2,100,1,Butterfly,flying,shrub,PM,12:05,yes
