rep,site,plot,density_category,density_level,method,date,sample_day,phylum,species,microsite,daily_animal_totals
536,4,1,HD,3,focal,06-Jun-19,21,invertebrate,Dicolonus simplex,open,2
545,4,1,HD,3,focal,29-May-19,13,invertebrate,Dicolonus simplex,open,1
561,4,1,HD,3,transect,21-May-19,5,invertebrate,Colias eurytheme,open,1
558,4,1,HD,3,transect,11-Jun-19,26,invertebrate,Oedaleonotus enigma,open,1
562,4,1,HD,3,transect,21-May-19,5,invertebrate,Oedaleonotus enigma,open,1
569,4,1,HD,3,transect,29-May-19,13,invertebrate,Oedaleonotus enigma,open,1
574,4,1,HD,3,transect,31-May-19,15,invertebrate,Oedaleonotus enigma,open,1
568,4,1,HD,3,transect,29-May-19,13,invertebrate,Dicolonus simplex,shrub,1
541,4,1,HD,3,focal,25-May-19,9,invertebrate,Colias eurytheme,shrub,9
549,4,1,HD,3,focal,31-May-19,15,invertebrate,Colias eurytheme,shrub,1
555,4,1,HD,3,transect,06-Jun-19,21,invertebrate,Colias eurytheme,shrub,1
567,4,1,HD,3,transect,29-May-19,13,invertebrate,Colias eurytheme,shrub,2
526,4,1,HD,3,focal,02-Jun-19,17,invertebrate,Oedaleonotus enigma,shrub,5
529,4,1,HD,3,focal,04-Jun-19,19,invertebrate,Oedaleonotus enigma,shrub,1
537,4,1,HD,3,focal,06-Jun-19,21,invertebrate,Oedaleonotus enigma,shrub,3
542,4,1,HD,3,focal,25-May-19,9,invertebrate,Oedaleonotus enigma,shrub,2
546,4,1,HD,3,focal,29-May-19,13,invertebrate,Oedaleonotus enigma,shrub,2
550,4,1,HD,3,focal,31-May-19,15,invertebrate,Oedaleonotus enigma,shrub,2
552,4,1,HD,3,transect,04-Jun-19,19,invertebrate,Oedaleonotus enigma,shrub,4
556,4,1,HD,3,transect,06-Jun-19,21,invertebrate,Oedaleonotus enigma,shrub,5
559,4,1,HD,3,transect,11-Jun-19,26,invertebrate,Oedaleonotus enigma,shrub,2
563,4,1,HD,3,transect,21-May-19,5,invertebrate,Oedaleonotus enigma,shrub,1
570,4,1,HD,3,transect,29-May-19,13,invertebrate,Oedaleonotus enigma,shrub,5
