,plot,method,date,sample_day,phylum,species,microsite,daily_animal_totals,site,density_category,density_levels,density,cover,mean_shrub_size,proportion_shrub_cover,RDM,year
23,6,focal,04-Jun-19,19,vertebrate,Ammospermophilus nelsoni,open,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,1.333333333,2019
24,6,focal,04-Jun-19,19,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
58,1,focal,02-Jun-19,17,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
59,1,focal,06-Jun-19,21,vertebrate,Ammospermophilus nelsoni,shrub,2,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
60,1,focal,25-May-19,9,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
78,3,focal,02-Jun-19,17,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
79,3,focal,31-May-19,15,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
87,4,focal,06-Jun-19,21,vertebrate,Ammospermophilus nelsoni,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
89,5,focal,28-May-19,12,invertebrate,Andrena nigripes,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
90,6,focal,28-May-19,12,invertebrate,Andrena nigripes,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
92,5,focal,07-Jun-19,22,vertebrate,Aspidoscelis tigris,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
95,2,focal,29-May-19,13,vertebrate,Aspidoscelis tigris,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
96,2,focal,31-May-19,15,vertebrate,Aspidoscelis tigris,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
102,7,focal,28-May-19,12,invertebrate,Calathus ruficollis,shrub,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
103,3,focal,25-May-19,9,invertebrate,Calathus ruficollis,shrub,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
107,3,focal,02-Jun-19,17,vertebrate,Calypte anna,open,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,1.666666667,2019
110,5,focal,07-Jun-19,22,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
111,5,focal,25-May-19,9,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
118,5,focal,04-Jun-19,19,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
121,6,focal,02-Jun-19,17,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
